scale,model,N,rrmse_mean,rrmse_std,p_param
128,known_operator,4,0.085488,0.003749,7680
128,known_operator,16,0.059074,0.001910,7680
128,known_operator,64,0.053124,0.000194,7680
128,known_operator,256,0.052404,0.000044,7680
128,known_operator,1024,0.052280,0.000044,7680
128,known_operator,2048,0.052256,0.000020,7680
128,fully_connected_ridge,4,0.184608,0.001010,125829120
128,fully_connected_ridge,16,0.142722,0.005204,125829120
128,fully_connected_ridge,64,0.098154,0.001660,125829120
128,fully_connected_ridge,256,0.073368,0.000380,125829120
128,fully_connected_ridge,1024,0.056442,0.000081,125829120
128,fully_connected_ridge,2048,0.049611,0.000256,125829120
