train_size,model,mse_mean,mse_std,train_time_mean_s,train_time_std_s,infer_time_mean_ms,infer_time_std_ms,bound_proxy
4,fully_connected,0.8199343443413575,0.4071688353861328,200.07543287798762,0.12463844466842719,1.2914297978083293,0.0022264546814700775,43609049.88016951
16,fully_connected,0.4701873338719209,0.5029598524167296,200.07312789435187,0.13279990722469528,1.290934681892395,0.0012337651345141402,21804524.940084755
64,fully_connected,0.13615689215560756,0.04968617309046224,200.08897398908934,0.14978329989219683,1.2903142720460892,0.0005360379588495472,8176696.852531783
256,fully_connected,0.10442134901881218,3.771390051817647e-05,200.08695377161106,0.12741967557450617,1.2923148771127064,0.0011284987027335648,2725565.6175105944
1024,fully_connected,0.10446787682672341,0.00029659970147763573,200.08209315190712,0.13048192446676676,1.2903474022944768,0.0006975834793381743,851739.2554720608
2048,fully_connected,0.10427150530119737,6.187660264550931e-06,200.0954497344792,0.12629114422635235,1.2919564296801884,0.000771370412638571,468456.5905096334
4,known_operator,0.016443626473968225,0.0014423531860322813,622.680771663785,28.111599816326017,17.219281420111656,0.06608088472068548,2661.68517335019
16,known_operator,0.007851887714738647,0.000507793153857524,579.9919754713774,20.87813697604186,17.180633023381233,0.21546448598617127,1330.842586675095
64,known_operator,0.006349933339903752,4.6482085066753866e-05,588.8281362553438,7.590381738842866,17.225494732459385,0.07182959751075092,499.0659700031606
256,known_operator,0.006178859756328165,1.0279375069366144e-05,597.6385547791918,7.144473366730263,17.206740404168766,0.11037464110640273,166.35532333438687
1024,known_operator,0.006149586049529414,1.026326021969391e-05,602.0785373734931,8.042942604455341,17.218737577398617,0.05398935083504795,51.986038541995896
2048,known_operator,0.00614413454507788,4.6207012629279324e-06,600.2141133546829,7.2574132927225214,17.21615957717101,0.142635726418161,28.592321198097743
