image_side,num_angles,train_size,model,mse_mean,mse_std,train_time_mean_s,bound_proxy
8,10,4,known_operator,0.0073729967399476515,0.004264585690445086,0.0004419499076902866,27.725887222397812
8,10,8,known_operator,0.0039911091137170025,0.0007024389679421139,0.00013270825147628784,20.79441541679836
8,10,16,known_operator,0.003149431153144008,0.0004506264599384522,0.00012653348967432975,13.862943611198906
8,10,32,known_operator,0.0025206543217186224,0.00015824022612068828,9.180819615721703e-05,8.664339756999317
8,10,64,known_operator,0.0023400514160447808,0.00011155834591562137,9.44085419178009e-05,5.19860385419959
8,10,4,fully_connected,0.0330325405151571,0.00397543950667093,8.997470140457154e-05,1774.45678223346
8,10,8,fully_connected,0.024218024867443434,0.00258229312677924,8.890861645340919e-05,1330.842586675095
8,10,16,fully_connected,0.015951619726092332,0.0017315554794153634,0.000113783311098814,887.22839111673
8,10,32,fully_connected,0.010063597941463885,0.003886409611558527,8.057504892349243e-05,554.5177444479563
8,10,64,fully_connected,0.004499913604131477,0.0006243133641691532,8.599180728197098e-05,332.71064666877373
