image_side,num_angles,train_size,model,mse_mean,mse_std,train_time_mean_s,bound_proxy
32,40,4,known_operator,0.024701364938227673,0.015752960260087063,0.018995766527950764,443.614195558365
32,40,8,known_operator,0.008120408244292988,0.004313602599952393,0.020773191750049592,332.71064666877373
32,40,16,known_operator,0.003572257732680206,0.0007270119931498179,0.019724416732788085,221.8070977791825
32,40,32,known_operator,0.00113294629853905,0.00028438032365171327,0.019678408559411765,138.62943611198907
32,40,64,known_operator,0.00077779129534837,0.00020698986735941366,0.01986349979415536,83.17766166719343
32,40,4,fully_connected,0.04272702160466089,0.006704314302400286,0.04128662515431643,454260.93625176576
32,40,8,fully_connected,0.03534898045902198,0.00547355574752051,0.04283921681344509,340695.7021888243
32,40,16,fully_connected,0.025686290380276106,0.002549198342970794,0.0420980497263372,227130.46812588288
32,40,32,fully_connected,0.01662398365906639,0.0011685136306686212,0.04159915838390589,141956.5425786768
32,40,64,fully_connected,0.011452332030223169,0.0007381750408390992,0.04408898362889886,85173.92554720608
