image_side,num_angles,train_size,model,mse_mean,mse_std,train_time_mean_s,bound_proxy
16,20,4,known_operator,0.011168882722692484,0.007250841696766556,0.0008803167380392552,110.90354888959125
16,20,8,known_operator,0.0037325041906510923,0.0020448557898955578,0.0009015249088406563,83.17766166719343
16,20,16,known_operator,0.0024991786859385827,0.0004242508333858034,0.0009224834851920604,55.451774444795625
16,20,32,known_operator,0.0011237981787122944,4.9930447986826256e-05,0.0009467584080994129,34.657359027997266
16,20,64,known_operator,0.0011540565115398407,0.0004263999602545572,0.0009657327085733413,20.79441541679836
16,20,4,fully_connected,0.037552046406609293,0.0055985338013344495,0.0012167664244771004,28391.30851573536
16,20,8,fully_connected,0.030570794846094113,0.0040943894778352925,0.001150091364979744,21293.48138680152
16,20,16,fully_connected,0.022600128314136013,0.002824650206100994,0.0012405668385326862,14195.65425786768
16,20,32,fully_connected,0.01466955377787026,0.0013012594861608173,0.0012996583245694637,8872.2839111673
16,20,64,fully_connected,0.008539247869465052,0.00039853147206755446,0.0011823499575257302,5323.37034670038
