train_size,model,mse_mean,mse_std,train_time_mean_s,train_time_std_s,infer_time_mean_ms,infer_time_std_ms,bound_proxy
4,fully_connected,2.165748953223228,0.7952319563263311,164.40963928680867,0.04085679933242636,9.970923783257604,0.0018683566235977729,523308598.56203413
16,fully_connected,8.128154006116093,10.063230448200787,164.34220603201538,0.10338126187416696,9.969774074852467,0.0033305493364521235,261654299.28101707
64,fully_connected,0.12106330566108227,0.0039700118587715355,164.32626112969592,0.0745757144267135,9.97073789127171,0.001986683900792108,98120362.2303814
256,fully_connected,0.13746799256652592,0.045226422900188246,164.325952664949,0.10234031769255589,9.970382079482079,0.0015851166307144053,32706787.410127133
1024,fully_connected,0.10738515168428421,0.0029746970670802533,164.33722668187693,0.06351536195055656,9.975014477968216,0.008705247167462926,10220871.06566473
4,known_operator,0.010423202496021987,0.0001050595480647825,94.63421147037297,44.64611369048813,27.684391094371676,0.41276493698630795,7985.05552005057
16,known_operator,0.006262180201010778,4.2691690370489896e-05,62.71927124308422,0.39489433670144536,27.390736117959023,0.022370335467687862,3992.527760025285
64,known_operator,0.005838117653038353,0.0002574186438251051,63.755807327572256,0.25806755119275776,27.461993619799614,0.23690221980723214,1497.1979100094818
256,known_operator,0.005783656568964943,0.00022981000332581594,62.861255834810436,0.5817210566853488,27.38321227952838,0.040709193166407115,499.0659700031606
1024,known_operator,0.005799807191360742,0.00016697237619947659,62.74016778357327,0.11848385141946395,27.32345142401755,0.10833250768401079,155.9581156259877
