train_size,model,mse_mean,mse_std,train_time_mean_s,train_time_std_s,infer_time_mean_ms,infer_time_std_ms,selected_lambda_mode,bound_proxy
4,known_operator,0.009987040075897019,0.0056431487915819985,0.22693015448749065,0.0010882959285820125,0.027922543813474476,0.00013358936557414847,0.01,110.90354888959125
8,known_operator,0.0035470033334869732,0.0015956255700058017,0.22518424801528453,0.0009001599525741208,0.02788087585940957,6.72890232519113e-05,0.01,83.17766166719343
16,known_operator,0.0025304028876512296,0.0010525617416923057,0.27598100788891317,0.001982243043035032,0.02782405645120889,0.0001396321974209758,0.01,55.451774444795625
32,known_operator,0.0011215845833031748,0.00013828030768704952,0.38993511684238913,0.00373652428200489,0.02978483389597386,0.006064663454484637,0.01,34.657359027997266
64,known_operator,0.0009522040534697542,6.828173995063641e-05,0.6427544586360454,0.014815835438095675,0.027065680478699505,0.0017221152128869023,0.01,20.79441541679836
128,known_operator,0.0008497390687045271,6.8753262119167e-05,1.2143101256340743,0.033497403028334774,0.02756740723270923,0.002249385224350775,0.0001,12.130075659799042
4,fully_connected,0.037163320003228174,0.003395522039729434,0.07362775206565857,2.611008409058865e-05,0.19753395463339984,0.20288074701319175,100.0,28391.30851573536
8,fully_connected,0.030255337712631787,0.0023657041513285575,0.07365408353507519,3.83325217476563e-05,0.20452096068765968,0.19869777251129683,100.0,21293.48138680152
16,fully_connected,0.022364301094459162,0.0014937022467560244,0.07671440206468105,0.0036738794138934986,0.09931208041962236,0.017313329340820045,100.0,14195.65425786768
32,fully_connected,0.014511765952279047,0.0007006830705488542,0.07402163371443748,0.0003228557154521287,0.23014364996924996,0.19200301889108334,1.0,8872.2839111673
64,fully_connected,0.008542656533468519,0.0003588786462813509,0.07406515143811702,0.0003616216667784363,0.20413844322320074,0.1994160291156919,1.0,5323.37034670038
128,fully_connected,0.008555944168441337,0.00985738151654422,0.06996819451451301,0.008758347141015227,0.3971722529968247,0.20076429048610941,1.0,3105.2993689085547
